,ticid,colpx,rowpx
0,392839620,2041.5989266677468,1985.5250358092712
1,366315702,1920.5150189595822,1988.8339075128329
2,366315735,1919.104762872391,1993.2790291530139
3,392786188,2081.0446318821237,1981.6506012851387
4,460820952,2012.36564627454,1559.1187616881155
5,460820953,2004.2731292214658,1556.4041532307851
6,392785968,2063.9590997648565,2021.284678278394
7,392786013,2064.36314747915,2012.708904029535
8,392786054,2061.5760233078377,2004.161123196803
9,392839825,2045.5150972505787,1946.318447459005
10,392840316,2077.7942780363546,1861.4944991987784
11,392858805,1969.535996165301,2029.9582621743277
12,392860047,2051.84723142674,1810.8306514641529
13,392911663,2079.169757361754,1652.0514318407713
14,392912566,2030.3918771393237,1824.1469747976528
15,366254422,1982.6522008039667,1904.9944751650914
16,366254870,2002.7572378305701,1820.9169642684672
17,366255919,2081.635224107063,1618.3939084956437
18,366256050,2088.798302632649,1589.0009316345477
19,366314212,2027.3483896099078,1699.6040122020997
20,366257359,2083.854535792072,1489.7605749465622
21,366313633,2054.879910764473,1572.6031465608094
22,366320254,1892.1157008273265,2023.3783433529013
23,366355803,2030.3789465842804,1605.2736564962167
24,14430,2081.850174310731,1351.6113208347258
25,366359457,1907.0062971093116,1911.103088241831
26,366359527,1910.5565876213013,1922.9133373223344
27,366360077,1880.5370949508097,2015.85269503692
28,460839125,2003.6073155814204,1512.5484715666473
29,460839218,1986.6916547607411,1531.5963740650495
30,460839652,1960.3658427897,1614.2335194216037
31,460840144,1929.8263600847415,1700.9589173539666
32,460840157,1927.0875869239524,1702.3998834387833
33,379593781,1974.3095944091854,1499.4842165441157
34,379593841,1975.2411643321827,1488.4419751266303
35,379593939,1983.3719254397286,1469.9584730867434
36,460846661,1809.9811375079403,1938.6987574862255
37,460846731,1825.1815431983398,1930.5634597074084
38,460848333,1913.4371360303178,1659.2159861675602
39,460848458,1911.9554695480076,1635.4267681147312
40,460849032,1943.291976541763,1538.9865052163423
41,460849765,1990.2493175269522,1404.144434649776
42,35795,2079.649151273741,1045.015308650851
43,38731,2074.510007563975,1021.9925562357514
44,368638239,1977.135602943407,1365.7056141468363
45,43697,2062.868156481432,956.3996893332543
46,43855,2054.440776658496,997.0529151419746
47,44267,2015.6592989464573,1101.0392838211058
48,45247,1954.1801146583475,1320.8648643570364
49,46247,1988.5731662794262,1168.6385576884304
50,46937,2030.401477236352,1004.018835732449
51,52357,2007.6510882492341,1034.3046429135616
52,53356,1941.6910106397463,1247.449430075054
53,47618830,1826.9861460475859,1648.2588324840626
54,47619476,1863.3157990519985,1505.2922757886226
55,47620776,1872.7055077402142,1463.7619843626628
56,53990,1908.8652740034147,1295.8161781215301
57,460820127,1963.6613154712861,1697.7640207619777
58,460820330,1975.131338731227,1667.462346237423
59,379591208,1838.3252362857918,1943.5273802410152
60,379593456,1965.6244356416128,1567.7549233827478
61,28465,2078.957207141797,1176.9884273668993
62,29069,2029.1235714063966,1326.057805322335
63,36279,2053.1184163684447,1153.9135897002284
64,368639440,1906.6335149113565,1625.1801846358787
65,368640964,1814.3947935861072,1905.0890237077024
66,36856,2005.2918558599272,1280.2622888357014
67,37732,1998.0833187597575,1255.208733528344
68,38569,2059.4761496669225,1064.7176381231332
69,89462,1852.1174715420811,878.032945492509
70,90907,1955.1751320500596,540.0002036887673
71,91430,1990.8997107572995,415.10295567893024
72,92094,2010.5632629384866,295.5790577568521
73,93155,1933.291263201992,562.6131905369032
74,93973,1877.0138544195775,758.0527068277211
75,96585,1714.579685375692,1249.7937680640118
76,99010,1860.5864196017758,728.0557913132402
77,99433,1896.2775089985962,636.5139577833452
78,47952726,1516.6634480180282,1952.9656954921848
79,47955124,1642.347489376566,1567.2540447227432
80,128493,1826.2174584837494,385.06022505113583
81,368723998,1752.6633656770357,1928.7821109967788
82,53045,1960.020417920509,1178.025078641244
83,53373,1928.5386544828482,1248.9376044555643
84,53375,1928.634717629933,1248.996409602836
85,54719,1957.4851021524535,1122.4661301697365
86,56154,2059.458706175933,786.5302752625921
87,56179,2067.7485831433614,782.3357828926355
88,59890,2021.1359352225743,877.4399136297282
89,47620652,1867.3946596373698,1434.7623760332322
90,47621130,1845.0202202330736,1535.2975087793495
91,47621242,1836.6185879262584,1561.847382494351
92,47622411,1756.5332330772044,1799.9362852940326
93,47622581,1742.615884181037,1831.7996743473639
94,47622746,1734.6973068835262,1864.2406865904932
95,47654020,1765.2898878438748,1726.4941928504543
96,47655000,1825.3485191662976,1517.564788913349
97,48007647,1652.1830757306825,1351.963261091005
98,62628,1908.3071942858362,1166.9052287319216
99,67896,1974.8781030708008,832.6549348005573
100,68904,1910.4479551866154,1082.08996949644
101,69641,1842.5629534609725,1252.7489071786042
102,69742,1841.1089741976211,1275.3917696214185
103,70111,1821.845660834614,1270.2977832973993
104,70166,1833.2574437095514,1261.9831726000277
105,70327,1836.6698552552225,1221.8963167941113
106,70380,1835.2961900448124,1208.9847965250785
107,70654,1869.174517024644,1161.678264898627
108,71029,1882.0378351313834,1080.7218905281552
109,71264,1905.572868539673,1032.351404652836
110,71315,1913.3707951330443,1022.1775816180398
111,71387,1916.9452770540508,1004.1007287961788
112,72219,1961.1173571327326,805.7254854787466
113,73771,2086.491813528154,417.9358373281685
114,77094,1899.3334507082623,996.2716345555302
115,47709086,1786.305857510409,1470.7256019892525
116,47709148,1793.073892447709,1458.8697561038937
117,47747479,1659.1737162372633,1812.9268413313112
118,47752102,1582.2497102946393,2032.80634908808
119,47753509,1655.1462996870969,1805.8739321312898
120,47883330,1655.2937703688883,1630.6686920976902
