,ticid,colpx,rowpx
0,166900460,2064.052223137493,248.73387260930048
1,166898415,2067.0864994836083,101.88658752585506
2,166898314,2081.3561534536757,196.44695938914603
3,369375501,2083.270707410155,1210.0023253727954
4,321099806,2069.1491551585523,1373.5689474839273
5,369376514,2062.4957632684745,454.48447643500504
6,369375630,2080.716378859675,1114.0102146027793
7,144126052,2066.5946943423996,1695.3200728168542
8,144126053,2068.6784645536477,1695.0605309017863
9,144143255,2001.7638739808235,1782.4326689293232
10,166934491,1983.732576565872,15.106987762457873
11,168656016,1918.1576858539615,401.72812505067816
12,168632811,1977.0284620788184,175.2440162146603
13,166934452,1979.4089086075371,44.89246478417592
14,166933518,2013.991860597336,30.436910602302905
15,166931837,2024.0488557229053,39.43726413619472
16,166931622,2039.703582819911,238.45194277975185
17,144162613,1957.8512976134937,1965.7549749508084
18,144162606,1957.9726178222065,1969.6518492139135
19,144162567,1954.6394034707596,2000.7981927549233
20,144162550,1959.5902710036605,2013.6009715325472
21,144149848,1982.7667622570916,1953.0220599269835
22,144149372,1967.356117994323,1604.3879027261196
23,144149170,1982.3242695385816,1575.9944350931517
24,144148925,1994.3913166442117,1762.5480716855686
25,144148818,1998.5432430668563,1855.1403074192358
26,144148638,2007.137430639829,1999.6312611685332
27,144142822,2018.136461292746,1576.5656273666345
28,144142687,2039.645983531177,1682.0680637348153
29,144142347,2042.967620646106,1960.3141160895802
30,321088393,2048.937960137782,492.5936417950581
31,369376579,1934.5907813330823,490.09350635582007
32,369377417,1955.9602704784888,1227.4487965941246
33,369378695,1931.7597653609537,805.1811079613532
34,369391491,1921.8186214484676,494.5058254562603
35,369391504,1907.366723481432,483.436826079528
36,369391275,1920.0112570541028,657.3403760542863
37,369378579,1920.9113945991805,918.5788047957135
38,369378156,1938.0571401038371,1259.8534782051718
39,369377398,1956.9194913038075,1209.155724933609
40,369377342,1960.4674464375405,1145.7234031490475
41,369377221,1957.916015292661,1041.8918341318342
42,369377184,1946.5760517013634,1001.4476655290629
43,369376701,1944.8490942325836,593.1285457581976
44,321126812,1972.4565934800828,1291.3430261042126
45,321126357,1968.0624561249783,892.1929315125117
46,321126285,1973.9462767105713,828.8919542117239
47,321125648,1979.4638841564956,570.0224690923127
48,321125570,1974.6131999964732,631.8599452661741
49,321125325,1983.8617947487871,876.7948840552308
50,321124951,2003.2487329742808,1202.3082379068642
51,321124787,1996.7027920114922,1344.4993479397078
52,321124739,2005.2868669152792,1376.253116771636
53,321124422,2023.486644000709,1400.7293495169595
54,321102177,2010.0920112225265,1218.2019257728066
55,321102150,2020.6370723032142,1200.4849506087185
56,321101935,2016.7426166019568,1026.1169213007183
57,321101449,2005.7956178492598,649.0348395812821
58,321101213,2004.1406048949652,448.84170170693875
59,321101138,2024.0015325478373,486.01886182950193
60,321100884,2040.5652002898896,704.9363382259339
61,321100778,2027.4635227354793,807.7098402224275
62,321100028,2051.723526582601,1485.1920394880947
63,321088925,2047.9496564261399,986.5507608550258
64,321088680,2053.772603825809,739.8128952079676
65,321088561,2052.527877634259,630.5106474811072
66,144162612,1947.5168514468178,1966.2415187087927
67,144163192,1933.9791488463943,1559.914093073024
68,168697410,1822.2744655731162,239.64594896954637
